x_m,y_m,height_m,estimated_friction,scm_sinkage_demo_m,source
-2.500,-0.100,0.09680,0.5509,0.00121,pychrono
-2.500,0.000,0.09775,0.5502,0.00124,pychrono
-2.500,0.100,0.09680,0.5509,0.00121,pychrono
-2.500,0.200,0.09395,0.5529,0.00111,pychrono
-2.500,0.300,0.08926,0.5562,0.00096,pychrono
-2.500,0.400,0.08282,0.5608,0.00079,pychrono
-2.500,0.500,0.07477,0.5666,0.00061,pychrono
-2.500,0.600,0.06525,0.5734,0.00044,pychrono
-2.500,0.700,0.05445,0.5811,0.00031,pychrono
-2.500,0.800,0.04259,0.5896,0.00020,pychrono
-2.500,0.900,0.02989,0.5986,0.00012,pychrono
-2.500,1.000,0.01661,0.6081,0.00007,pychrono
-2.500,1.100,0.00301,0.6179,0.00004,pychrono
-2.500,1.200,-0.01065,0.6124,0.00002,pychrono
-2.500,1.300,-0.02411,0.6028,0.00001,pychrono
-2.500,1.400,-0.03709,0.5935,0.00000,pychrono
-2.500,1.500,-0.04935,0.5847,0.00000,pychrono
-2.500,1.600,-0.06064,0.5767,0.00000,pychrono
-2.500,1.700,-0.07075,0.5695,0.00000,pychrono
-2.500,1.800,-0.07947,0.5632,0.00000,pychrono
-2.500,1.900,-0.08663,0.5581,0.00000,pychrono
-2.500,2.000,-0.09211,0.5542,0.00000,pychrono
-2.400,-2.000,-0.08706,0.5578,0.00000,pychrono
-2.400,-1.900,-0.08189,0.5615,0.00000,pychrono
-2.400,-1.800,-0.07512,0.5663,0.00000,pychrono
-2.400,-1.700,-0.06687,0.5722,0.00000,pychrono
-2.400,-1.600,-0.05732,0.5791,0.00000,pychrono
-2.400,-1.500,-0.04665,0.5867,0.00000,pychrono
-2.400,-1.400,-0.03506,0.5950,0.00001,pychrono
-2.400,-1.300,-0.02279,0.6037,0.00001,pychrono
-2.400,-1.200,-0.01007,0.6128,0.00003,pychrono
-2.400,-1.100,0.00285,0.6180,0.00006,pychrono
-2.400,-1.000,0.01570,0.6088,0.00010,pychrono
-2.400,-0.900,0.02826,0.5998,0.00017,pychrono
-2.400,-0.800,0.04026,0.5912,0.00028,pychrono
-2.400,-0.700,0.05147,0.5832,0.00044,pychrono
-2.400,-0.600,0.06167,0.5759,0.00063,pychrono
-2.400,-0.500,0.07067,0.5695,0.00086,pychrono
-2.400,-0.400,0.07829,0.5641,0.00112,pychrono
-2.400,-0.300,0.08437,0.5597,0.00137,pychrono
-2.400,-0.200,0.08880,0.5566,0.00157,pychrono
-2.400,-0.100,0.09150,0.5546,0.00172,pychrono
-2.400,0.000,0.09240,0.5540,0.00177,pychrono
-2.400,0.100,0.09150,0.5546,0.00172,pychrono
-2.400,0.200,0.08880,0.5566,0.00157,pychrono
-2.400,0.300,0.08437,0.5597,0.00137,pychrono
-2.400,0.400,0.07829,0.5641,0.00112,pychrono
-2.400,0.500,0.07067,0.5695,0.00086,pychrono
-2.400,0.600,0.06167,0.5759,0.00063,pychrono
-2.400,0.700,0.05147,0.5832,0.00044,pychrono
-2.400,0.800,0.04026,0.5912,0.00028,pychrono
-2.400,0.900,0.02826,0.5998,0.00017,pychrono
-2.400,1.000,0.01570,0.6088,0.00010,pychrono
-2.400,1.100,0.00285,0.6180,0.00006,pychrono
-2.400,1.200,-0.01007,0.6128,0.00003,pychrono
-2.400,1.300,-0.02279,0.6037,0.00001,pychrono
-2.400,1.400,-0.03506,0.5950,0.00001,pychrono
-2.400,1.500,-0.04665,0.5867,0.00000,pychrono
-2.400,1.600,-0.05732,0.5791,0.00000,pychrono
-2.400,1.700,-0.06687,0.5722,0.00000,pychrono
-2.400,1.800,-0.07512,0.5663,0.00000,pychrono
-2.400,1.900,-0.08189,0.5615,0.00000,pychrono
-2.400,2.000,-0.08706,0.5578,0.00000,pychrono
-2.300,-2.000,-0.07920,0.5634,0.00000,pychrono
-2.300,-1.900,-0.07450,0.5668,0.00000,pychrono
-2.300,-1.800,-0.06834,0.5712,0.00000,pychrono
-2.300,-1.700,-0.06084,0.5765,0.00000,pychrono
-2.300,-1.600,-0.05215,0.5828,0.00000,pychrono
-2.300,-1.500,-0.04244,0.5897,0.00000,pychrono
-2.300,-1.400,-0.03190,0.5972,0.00001,pychrono
-2.300,-1.300,-0.02073,0.6052,0.00002,pychrono
-2.300,-1.200,-0.00916,0.6135,0.00004,pychrono
-2.300,-1.100,0.00259,0.6182,0.00008,pychrono
-2.300,-1.000,0.01429,0.6098,0.00014,pychrono
-2.300,-0.900,0.02571,0.6016,0.00025,pychrono
-2.300,-0.800,0.03662,0.5938,0.00040,pychrono
-2.300,-0.700,0.04682,0.5866,0.00061,pychrono
-2.300,-0.600,0.05611,0.5799,0.00089,pychrono
-2.300,-0.500,0.06429,0.5741,0.00121,pychrono
-2.300,-0.400,0.07122,0.5691,0.00157,pychrono
-2.300,-0.300,0.07676,0.5652,0.00192,pychrono
-2.300,-0.200,0.08079,0.5623,0.00221,pychrono
-2.300,-0.100,0.08324,0.5605,0.00241,pychrono
-2.300,0.000,0.08406,0.5600,0.00248,pychrono
-2.300,0.100,0.08324,0.5605,0.00241,pychrono
-2.300,0.200,0.08079,0.5623,0.00221,pychrono
-2.300,0.300,0.07676,0.5652,0.00192,pychrono
-2.300,0.400,0.07122,0.5691,0.00157,pychrono
-2.300,0.500,0.06429,0.5741,0.00121,pychrono
-2.300,0.600,0.05611,0.5799,0.00089,pychrono
-2.300,0.700,0.04682,0.5866,0.00061,pychrono
-2.300,0.800,0.03662,0.5938,0.00040,pychrono
-2.300,0.900,0.02571,0.6016,0.00025,pychrono
-2.300,1.000,0.01429,0.6098,0.00014,pychrono
-2.300,1.100,0.00259,0.6182,0.00008,pychrono
-2.300,1.200,-0.00916,0.6135,0.00004,pychrono
-2.300,1.300,-0.02073,0.6052,0.00002,pychrono
-2.300,1.400,-0.03190,0.5972,0.00001,pychrono
-2.300,1.500,-0.04244,0.5897,0.00000,pychrono
-2.300,1.600,-0.05215,0.5828,0.00000,pychrono
-2.300,1.700,-0.06084,0.5765,0.00000,pychrono
-2.300,1.800,-0.06834,0.5712,0.00000,pychrono
-2.300,1.900,-0.07450,0.5668,0.00000,pychrono
-2.300,2.000,-0.07920,0.5634,0.00000,pychrono
-2.200,-2.000,-0.06879,0.5709,0.00000,pychrono
-2.200,-1.900,-0.06470,0.5738,0.00000,pychrono
-2.200,-1.800,-0.05935,0.5776,0.00000,pychrono
-2.200,-1.700,-0.05284,0.5823,0.00000,pychrono
-2.200,-1.600,-0.04529,0.5876,0.00000,pychrono
-2.200,-1.500,-0.03686,0.5937,0.00001,pychrono
-2.200,-1.400,-0.02770,0.6002,0.00001,pychrono
-2.200,-1.300,-0.01801,0.6071,0.00003,pychrono
-2.200,-1.200,-0.00796,0.6143,0.00006,pychrono
-2.200,-1.100,0.00225,0.6184,0.00011,pychrono
-2.200,-1.000,0.01241,0.6111,0.00020,pychrono
-2.200,-0.900,0.02233,0.6041,0.00034,pychrono
-2.200,-0.800,0.03181,0.5973,0.00055,pychrono
-2.200,-0.700,0.04067,0.5910,0.00085,pychrono
-2.200,-0.600,0.04873,0.5852,0.00123,pychrono
-2.200,-0.500,0.05584,0.5801,0.00168,pychrono
-2.200,-0.400,0.06185,0.5758,0.00218,pychrono
-2.200,-0.300,0.06666,0.5724,0.00266,pychrono
-2.200,-0.200,0.07016,0.5699,0.00307,pychrono
-2.200,-0.100,0.07229,0.5684,0.00334,pychrono
-2.200,0.000,0.07301,0.5679,0.00344,pychrono
-2.200,0.100,0.07229,0.5684,0.00334,pychrono
-2.200,0.200,0.07016,0.5699,0.00307,pychrono
-2.200,0.300,0.06666,0.5724,0.00266,pychrono
-2.200,0.400,0.06185,0.5758,0.00218,pychrono
-2.200,0.500,0.05584,0.5801,0.00168,pychrono
-2.200,0.600,0.04873,0.5852,0.00123,pychrono
-2.200,0.700,0.04067,0.5910,0.00085,pychrono
-2.200,0.800,0.03181,0.5973,0.00055,pychrono
-2.200,0.900,0.02233,0.6041,0.00034,pychrono
-2.200,1.000,0.01241,0.6111,0.00020,pychrono
-2.200,1.100,0.00225,0.6184,0.00011,pychrono
-2.200,1.200,-0.00796,0.6143,0.00006,pychrono
-2.200,1.300,-0.01801,0.6071,0.00003,pychrono
-2.200,1.400,-0.02770,0.6002,0.00001,pychrono
-2.200,1.500,-0.03686,0.5937,0.00001,pychrono
-2.200,1.600,-0.04529,0.5876,0.00000,pychrono
-2.200,1.700,-0.05284,0.5823,0.00000,pychrono
-2.200,1.800,-0.05935,0.5776,0.00000,pychrono
-2.200,1.900,-0.06470,0.5738,0.00000,pychrono
-2.200,2.000,-0.06879,0.5709,0.00000,pychrono
-2.100,-2.000,-0.05615,0.5799,0.00000,pychrono
-2.100,-1.900,-0.05281,0.5823,0.00000,pychrono
-2.100,-1.800,-0.04845,0.5854,0.00000,pychrono
-2.100,-1.700,-0.04313,0.5892,0.00000,pychrono
-2.100,-1.600,-0.03697,0.5936,0.00000,pychrono
-2.100,-1.500,-0.03008,0.5985,0.00001,pychrono
-2.100,-1.400,-0.02261,0.6038,0.00002,pychrono
-2.100,-1.300,-0.01470,0.6095,0.00004,pychrono
-2.100,-1.200,-0.00649,0.6154,0.00008,pychrono
-2.100,-1.100,0.00183,0.6187,0.00015,pychrono
-2.100,-1.000,0.01013,0.6128,0.00027,pychrono
-2.100,-0.900,0.01822,0.6070,0.00046,pychrono
-2.100,-0.800,0.02596,0.6015,0.00076,pychrono
-2.100,-0.700,0.03319,0.5963,0.00116,pychrono
-2.100,-0.600,0.03978,0.5916,0.00168,pychrono
-2.100,-0.500,0.04558,0.5874,0.00230,pychrono
-2.100,-0.400,0.05049,0.5839,0.00298,pychrono
-2.100,-0.300,0.05441,0.5811,0.00364,pychrono
-2.100,-0.200,0.05727,0.5791,0.00420,pychrono
