schema_id,run_id,artifact_path,artifact_type,producer_script,producer_hash,artifact_hash,image_width_px,image_height_px,render_backend,camera_or_layout,camera_eye,camera_target,camera_fov_deg,visible_component_ids,source,evidence_level
visual.render_manifest.v1,component_catalog_fallback_bundle,images/renders/chrono_curiosity_vsg_capture.png,render_png,code/common/generate_chrono_builtin_robot_rover_assets_render.py,8eb21f16abb7990a077de72c48380e6b20acc2646719b1c327e8b42dd6293bf5,8ce263fb6b6d0de4a7b461efcc55450944d80c6e89cb7142fa7af0533340cda6,1280,800,pychrono.vsg3d ChVisualSystemVSG,pychrono.vsg3d camera,"4.200,-4.400,2.350","0.150,0.000,0.550",46.0,vehicle.robot_assets;vehicle.chassis;vehicle.wheel;vehicle.suspension;visual.runtime,pychrono_vsg_capture,pychrono_vsg_capture
visual.render_manifest.v1,component_catalog_fallback_bundle,images/renders/chrono_default_shape_types.png,render_png,code/common/generate_chrono_default_shape_types_render.py,be7a866d822a1afd5f9baf0b96dc92994959cbaad939969b2ca1858daec8d6b8,b41b1e0b6787a1a900a38645ff65f7b7a0bae04903e3caa46c6847fba2358bf3,961,961,matplotlib Agg render,see producer script,,,,runtime.system;core.body;core.visual_asset;core.link_constraint,concept_render,concept_render
visual.render_manifest.v1,component_catalog_fallback_bundle,images/renders/chrono_module_coverage_map.png,render_png,code/common/generate_chrono_module_coverage_map_render.py,d1c9fbb049c53d518439e817b71b66693a595499fef7631873bed98b3b06c470,9df1e460f3212a6cbe150a18e970ee3b30ea7387227b4af4011a902a51f92665,2113,1374,matplotlib Agg render,see producer script,,,,runtime.config;runtime.system,concept_render,concept_render
visual.render_manifest.v1,component_catalog_fallback_bundle,images/renders/chrono_optional_module_dependency_ladder.png,render_png,code/common/generate_chrono_optional_module_dependency_ladder_render.py,d0ba6c8a187c3fad98dc14c453f3b94bd5a97d566674bc7703487e8812180c63,719dc3aae8340f4707d0edd47992b68306d3ea8d0f0ee7e4c643d3747cfd672c,2221,1213,matplotlib Agg render,see producer script,,,,runtime.config;runtime.system,concept_render,concept_render
visual.render_manifest.v1,component_catalog_fallback_bundle,images/renders/chrono_viper_vsg_capture.png,render_png,code/common/generate_chrono_builtin_robot_rover_assets_render.py,8eb21f16abb7990a077de72c48380e6b20acc2646719b1c327e8b42dd6293bf5,01516e410baa3a4023e978b19cf8c71b0782af6722a98583b69c944f6601cce4,1280,800,pychrono.vsg3d ChVisualSystemVSG,pychrono.vsg3d camera,"4.400,-4.200,2.150","0.000,0.000,0.620",46.0,vehicle.robot_assets;vehicle.chassis;vehicle.wheel;vehicle.steering;visual.runtime,pychrono_vsg_capture,pychrono_vsg_capture
visual.render_manifest.v1,component_catalog_fallback_bundle,images/renders/collision_contact_components.png,render_png,code/collision_contact/generate_collision_contact_components_render.py,eddf28d52355e7204a99acb40c194eb7729c99aab445f2ff0c718243a0f0b924,7434a0bb0534fd63e1a9f10c60dc2ff35aa3c779161b02b73f376ac9a52814bf,1645,1015,matplotlib Agg render,see producer script,,,,collision.system_lifecycle;collision.shape_manifest;contact.container_reporter,concept_render,concept_render
visual.render_manifest.v1,component_catalog_fallback_bundle,images/renders/collision_contact_debug_vectors.png,render_png,code/collision_contact/generate_collision_contact_debug_vectors_render.py,2d1007f5a9cd4610d8ad6543283f7b0f8268c82816e78bedb1cce35584aa87cf,7237493e6348991b86a6b44a5dac3fe9fd97d1b1a2576def306f2b31ea57d55a,1584,997,matplotlib Agg render,see producer script,,,,collision.system_lifecycle;collision.shape_manifest;contact.container_reporter,concept_render,concept_render
visual.render_manifest.v1,component_catalog_fallback_bundle,images/renders/collision_contact_measurement_catalog.png,render_png,code/collision_contact/generate_collision_contact_measurement_catalog_render.py,bb9737d531bfdd77a3b1354bbbb15677c77f10f07257ff5971f35694b08d1100,503da368b3d496023ffc96236c943e31af22818da3b127ceb1b6c86b324725e4,1969,1069,matplotlib Agg render,see producer script,,,,collision.system_lifecycle;collision.shape_manifest;contact.container_reporter,concept_render,concept_render
visual.render_manifest.v1,component_catalog_fallback_bundle,images/renders/collision_contact_reporter_scope.png,render_png,code/collision_contact/generate_collision_contact_reporter_scope_render.py,7bf73393b640b4275553c150807e256ed6d2ffcd2d99383dae751408c5db05c0,78f2a84a90f52186c8eea0b3d528df902d52458abd43dc77e72bb92888779874,1861,973,matplotlib Agg render,see producer script,,,,collision.system_lifecycle;collision.shape_manifest;contact.container_reporter,concept_render,concept_render
visual.render_manifest.v1,component_catalog_fallback_bundle,images/renders/collision_visual_vs_collision_shape.png,render_png,code/collision_contact/generate_collision_visual_vs_collision_shape_render.py,0d32efdb68f2f553b731cca7c3e901239bf6e69b68ba55b7770087b2c77780c2,61e94927a4f38ae82da82330d8aaf781b5e271b3b10b33358837853ecdee48ad,1753,812,matplotlib Agg render,see producer script,,,,collision.system_lifecycle;collision.shape_manifest;contact.container_reporter,concept_render,concept_render
